Symbol,Sector,Industry
DHC,Real Estate,Real Estate Investment Trusts
DHCNI,Real Estate,Real Estate Investment Trusts
DHCNL,Real Estate,Real Estate Investment Trusts
DHI,Consumer Discretionary,Homebuilding
DHIL,Finance,Investment Managers
DHR,Industrials,Industrial Machinery/Components
DHT,Consumer Discretionary,Marine Transportation
DHX,Real Estate,Real Estate
DIBS,Consumer Discretionary,Catalog/Specialty Distribution
DIN,Consumer Discretionary,Restaurants
DINO,Energy,Natural Gas Distribution
DIOD,Technology,Semiconductors
DIS,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIT,Consumer Discretionary,Food Distributors
DJCO,Consumer Discretionary,Newspapers/Magazines
DJT,Technology,Computer Software: Programming Data Processing
DJTWW,Technology,Computer Software: Programming Data Processing
DK,Energy,Integrated oil Companies
DKL,Energy,Natural Gas Distribution
DKNG,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Consumer Discretionary,Other Specialty Stores
DLB,Miscellaneous,Multi-Sector Companies
DLHC,Consumer Discretionary,Professional Services
DLNG,Consumer Discretionary,Marine Transportation
DLO,Real Estate,Real Estate
DLR,Real Estate,Real Estate Investment Trusts
DLTH,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Consumer Discretionary,Publishing
DLY,Finance,Investment Managers
DMAC,Health Care,Biotechnology: Pharmaceutical Preparations
DMLP,Energy,Oil & Gas Production
DMRC,Technology,EDP Services
DNA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNLI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Basic Materials,Other Metals and Minerals
DNOW,Consumer Discretionary,Oil and Gas Field Machinery
DNTH,Health Care,Biotechnology: Pharmaceutical Preparations
DNUT,Consumer Staples,Food Chains
DOC,Real Estate,Real Estate Investment Trusts
DOCN,Technology,Computer Software: Programming Data Processing
DOCS,Technology,EDP Services
DOCU,Technology,Computer Software: Prepackaged Software
DOGZ,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Consumer Staples,Farming/Seeds/Milling
DOMH,Health Care,Biotechnology: Pharmaceutical Preparations
DOMO,Technology,Computer Software: Prepackaged Software
DOOO,Consumer Discretionary,Industrial Specialties
DORM,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Finance,Real Estate
DOV,Industrials,Industrial Machinery/Components
DOW,Industrials,Major Chemicals
DOX,Technology,EDP Services
DOYU,Technology,Computer Software: Programming Data Processing
DPRO,Industrials,Aerospace
DPZ,Consumer Discretionary,Food Distributors
DQ,Technology,Semiconductors
DRD,Basic Materials,Precious Metals
DRH,Real Estate,Real Estate Investment Trusts
DRI,Consumer Discretionary,Restaurants
DRS,Industrials,Industrial Machinery/Components
DRTS,Health Care,Medical/Dental Instruments
DRUG,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,Consumer Discretionary,Automotive Aftermarket
DSGN,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Consumer Discretionary,Industrial Specialties
DSGX,Technology,Computer Software: Prepackaged Software
DSL,Finance,Trusts Except Educational Religious and Charitable
DSP,Technology,Computer Software: Programming Data Processing
DSWL,Industrials,Plastic Products
DSX,Consumer Discretionary,Marine Transportation
DT,Technology,Computer Software: Prepackaged Software
DTB,Utilities,Electric Utilities: Central
DTE,Utilities,Electric Utilities: Central
DTF,Finance,Investment Managers
DTG,Utilities,Electric Utilities: Central
DTI,Consumer Discretionary,Oil and Gas Field Machinery
DTIL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,Utilities,Natural Gas Distribution
DTW,Utilities,Electric Utilities: Central
DUK,Utilities,Power Generation
DUKB,Utilities,Power Generation
DUOL,Technology,Computer Software: Prepackaged Software
DUOT,Technology,Computer Software: Prepackaged Software
DV,Technology,Computer Software: Programming Data Processing
DVA,Health Care,Misc Health and Biotechnology Services
DVAX,Health Care,Biotechnology: Pharmaceutical Preparations
DVLT,Technology,Semiconductors
DVN,Energy,Oil & Gas Production
DWSN,Energy,Oil & Gas Production
DX,Real Estate,Real Estate Investment Trusts
DXC,Technology,EDP Services
DXCM,Health Care,Medical/Dental Instruments
DXLG,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,Industrials,Industrial Machinery/Components
DXR,Health Care,Medical/Dental Instruments
DY,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYN,Health Care,Biotechnology: Pharmaceutical Preparations
E,Energy,Oil & Gas Production
EA,Consumer Discretionary,Services-Misc. Amusement & Recreation
EAF,Energy,Industrial Machinery/Components
EAI,Utilities,Electric Utilities: Central
EARN,Real Estate,Real Estate Investment Trusts
EAT,Consumer Discretionary,Restaurants
EB,Technology,Computer Software: Programming Data Processing
EBAY,Real Estate,Real Estate
EBC,Finance,Savings Institutions
EBF,Consumer Discretionary,Office Equipment/Supplies/Services
EBMT,Finance,Major Banks
EBR,Utilities,Electric Utilities: Central
EBS,Health Care,Biotechnology: Pharmaceutical Preparations
EC,Energy,Oil & Gas Production
ECAT,Finance,Trusts Except Educational Religious and Charitable
ECBK,Finance,Banks
ECC           ,Finance,Trusts Except Educational Religious and Charitable
ECCC,Finance,Trusts Except Educational Religious and Charitable
ECCV,Finance,Trusts Except Educational Religious and Charitable
ECCW,Finance,Trusts Except Educational Religious and Charitable
ECCX,Finance,Trusts Except Educational Religious and Charitable
ECG,Consumer Discretionary,Homebuilding
ECL,Consumer Discretionary,Package Goods/Cosmetics
ECO,Consumer Discretionary,Marine Transportation
ECPG,Finance,Finance Companies
ECVT,Industrials,Major Chemicals
ECX,Technology,EDP Services
ED,Utilities,Power Generation
EDAP,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDIT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDN,Utilities,Electric Utilities: Central
EDU,Real Estate,Other Consumer Services
EE,Utilities,Oil/Gas Transmission
EEFT,Finance,Investment Bankers/Brokers/Service
EEX,Real Estate,Real Estate
EFC,Finance,Real Estate
EFSC,Finance,Major Banks
EFSCP,Finance,Major Banks
EFSI,Finance,Major Banks
EFT,Finance,Finance Companies
EFX,Finance,Finance: Consumer Services
EFXT,Industrials,Industrial Machinery/Components
EG,Finance,Property-Casualty Insurers
EGAN,Technology,Computer Software: Prepackaged Software
EGBN,Finance,Major Banks
EGG,Consumer Discretionary,Professional Services
EGP,Real Estate,Real Estate Investment Trusts
EGY,Energy,Oil & Gas Production
EH,Industrials,Aerospace
EHAB,Health Care,Medical/Nursing Services
EHC,Health Care,Hospital/Nursing Management
EHTH,Finance,Specialty Insurers
EIC,Finance,Finance/Investors Services
EICA,Finance,Finance/Investors Services
EIG,Finance,Property-Casualty Insurers
EIX,Utilities,Electric Utilities: Central
EL,Consumer Discretionary,Package Goods/Cosmetics
ELA,Consumer Discretionary,Consumer Specialties
ELAN,Health Care,Biotechnology: Pharmaceutical Preparations
ELC,Utilities,Electric Utilities: Central
ELDN,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,Consumer Discretionary,Package Goods/Cosmetics
ELLO,Utilities,Electric Utilities: Central
ELMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELME,Real Estate,Real Estate Investment Trusts
ELP,Utilities,Electric Utilities: Central
ELPC,Utilities,Electric Utilities: Central
ELS,Real Estate,Real Estate Investment Trusts
ELTK,Technology,Electrical Products
ELTX,Health Care,Biotechnology: Pharmaceutical Preparations
ELV,Health Care,Medical Specialities
ELVN,Health Care,Biotechnology: Pharmaceutical Preparations
ELVR,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EM,Consumer Discretionary,Other Consumer Services
EMA,Utilities,Electric Utilities: Central
EMBC,Health Care,Medical/Dental Instruments
EME,Industrials,Engineering & Construction
EML,Consumer Discretionary,Industrial Machinery/Components
EMN,Industrials,Major Chemicals
EMP,Utilities,Electric Utilities: Central
EMR,Technology,Consumer Electronics/Appliances
EMX,Basic Materials,Metal Mining
ENB,Energy,Natural Gas Distribution
ENGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGS,Industrials,Engineering & Construction
ENIC,Utilities,Electric Utilities: Central
ENJ,Utilities,Power Generation
ENLT,Utilities,Electric Utilities: Central
ENO,Utilities,Power Generation
ENOV,Health Care,Industrial Specialties
ENPH,Technology,Semiconductors
ENR,Miscellaneous,Industrial Machinery/Components
ENS,Technology,Industrial Machinery/Components
ENSG,Health Care,Hospital/Nursing Management
ENTA,Health Care,Biotechnology: Pharmaceutical Preparations
ENTG,Industrials,Plastic Products
ENTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENVA,Finance,Finance: Consumer Services
ENVX,Miscellaneous,Industrial Machinery/Components
EOG,Energy,Oil & Gas Production
EOLS,Health Care,Biotechnology: Pharmaceutical Preparations
EOSE,Miscellaneous,Industrial Machinery/Components
EOSEW,Miscellaneous,Industrial Machinery/Components
EOT,Finance,Investment Bankers/Brokers/Service
EP,Energy,Oil & Gas Production
EPAC,Technology,Industrial Machinery/Components
EPAM,Technology,EDP Services
EPC,Consumer Discretionary,Package Goods/Cosmetics
EPD,Utilities,Natural Gas Distribution
EPM,Energy,Oil & Gas Production
EPR,Real Estate,Real Estate Investment Trusts
EPRT,Real Estate,Real Estate Investment Trusts
EPRX,Health Care,Pharmaceuticals and Biotechnology
EPSM,Consumer Staples,Beverages (Production/Distribution)
EPSN,Energy,Oil & Gas Production
EQ,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Finance,Major Banks
EQH,Finance,Specialty Insurers
EQIX,Real Estate,Real Estate Investment Trusts
EQNR,Energy,Integrated oil Companies
EQR,Real Estate,Real Estate Investment Trusts
EQT,Energy,Oil & Gas Production
EQX,Basic Materials,Precious Metals
ERAS,Health Care,Biotechnology: Pharmaceutical Preparations
ERIC,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Finance,Specialty Insurers
ERII,Technology,Industrial Machinery/Components
ERJ,Industrials,Aerospace
ERO,Basic Materials,Metal Mining
ES,Utilities,Electric Utilities: Central
ESAB,Industrials,Industrial Machinery/Components
ESCA,Consumer Discretionary,Recreational Games/Products/Toys
ESE,Telecommunications,Telecommunications Equipment
ESEA,Consumer Discretionary,Marine Transportation
ESGL,Utilities,Environmental Services
ESI,Industrials,Major Chemicals
ESLT,Industrials,Military/Government/Technical
ESNT,Finance,Property-Casualty Insurers
ESOA,Industrials,Water Sewer Pipeline Comm & Power Line Construction
ESP,Technology,Industrial Machinery/Components
ESPR,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Finance,Commercial Banks
ESRT,Real Estate,Real Estate Investment Trusts
ESS,Real Estate,Real Estate Investment Trusts
ESTA,Health Care,Industrial Specialties
ESTC,Technology,Computer Software: Prepackaged Software
ET,Utilities,Natural Gas Distribution
ETB,Finance,Investment Bankers/Brokers/Service
ETD,Consumer Discretionary,Home Furnishings
ETHZ,Health Care,Biotechnology: Pharmaceutical Preparations
ETN,Technology,Industrial Machinery/Components
ETNB,Health Care,Biotechnology: Pharmaceutical Preparations
ETO,Finance,Investment Managers
ETON,Health Care,Biotechnology: Pharmaceutical Preparations
ETOR,Finance,Investment Bankers/Brokers/Service
ETR,Utilities,Electric Utilities: Central
ETSY,Real Estate,Real Estate
ETV,Finance,Investment Bankers/Brokers/Service
ETW,Finance,Investment Managers
ETX           ,Finance,Investment Managers
EU,Basic Materials,Other Metals and Minerals
EUDA,Health Care,Medical/Nursing Services
EVC,Industrials,Broadcasting
EVCM,Technology,Computer Software: Prepackaged Software
EVER,Technology,Computer Software: Programming Data Processing
EVEX,Industrials,Aerospace
EVF,Finance,Investment Bankers/Brokers/Service
EVGO,Technology,EDP Services
EVGOW,Technology,EDP Services
EVH,Consumer Discretionary,Other Consumer Services
EVI,Consumer Discretionary,Other Consumer Services
EVLV,Technology,Computer peripheral equipment
EVLVW,Technology,Computer peripheral equipment
EVN,Finance,Investment Managers
EVO,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Finance,Investment Managers
EVRG,Utilities,Power Generation
EVTC,Technology,EDP Services
EVTL,Industrials,Aerospace
EW,Health Care,Industrial Specialties
EWBC,Finance,Major Banks
EWCZ,Consumer Discretionary,Other Consumer Services
EWTX,Health Care,Biotechnology: Pharmaceutical Preparations
EXAS,Health Care,Medical Specialities
EXC,Utilities,Power Generation
EXE,Energy,Oil & Gas Production
EXEEL,Energy,Oil & Gas Production
EXEL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXFY,Technology,Computer Software: Prepackaged Software
EXK,Basic Materials,Precious Metals
EXLS,Real Estate,Real Estate
EXOD,Finance,Finance: Consumer Services
EXOZ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXP,Industrials,Building Materials
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Discretionary,Transportation Services
EXPI,Finance,Real Estate
EXPO,Consumer Discretionary,Professional Services
EXR,Real Estate,Real Estate Investment Trusts
EXTR,Telecommunications,Computer Communications Equipment
EYE,Health Care,Ophthalmic Goods
EYPT,Industrials,Biotechnology: Laboratory Analytical Instruments
EZPW,Consumer Discretionary,Other Specialty Stores
F,Industrials,Auto Manufacturing
FA,Technology,EDP Services
FAF,Finance,Specialty Insurers
FANG,Energy,Oil & Gas Production
FAST,Consumer Discretionary,RETAIL: Building Materials
FATE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FATN,Technology,Computer Software: Prepackaged Software
FBIN,Basic Materials,Forest Products
FBIO,Health Care,Biotechnology: Pharmaceutical Preparations
FBIOP,Health Care,Biotechnology: Pharmaceutical Preparations
FBIZ,Finance,Major Banks
FBK,Finance,Major Banks
FBLA,Finance,Banks
FBNC,Finance,Major Banks
FBP,Finance,Major Banks
FBRT,Real Estate,Real Estate Investment Trusts
FBRX,Health Care,Biotechnology: Pharmaceutical Preparations
FBYD,Consumer Discretionary,Services-Misc. Amusement & Recreation
FBYDW,Consumer Discretionary,Services-Misc. Amusement & Recreation
FC,Consumer Discretionary,Other Consumer Services
FCAP,Finance,Savings Institutions
FCBC,Finance,Major Banks
FCCO,Finance,Major Banks
FCEL,Energy,Industrial Machinery/Components
FCF,Finance,Major Banks
FCFS,Consumer Discretionary,Other Specialty Stores
FCN,Consumer Discretionary,Professional Services
FCNCA,Finance,Major Banks
FCNCO,Finance,Major Banks
FCNCP,Finance,Major Banks
FCPT,Real Estate,Real Estate Investment Trusts
FCRX,Finance,Finance: Consumer Services
FCX,Basic Materials,Metal Mining
FDBC,Finance,Major Banks
FDMT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FDP,Consumer Staples,Farming/Seeds/Milling
FDS,Technology,Computer Software: Programming Data Processing
FDSB,Finance,Savings Institutions
FDUS,Finance,Finance/Investors Services
FDX,Consumer Discretionary,Air Freight/Delivery Services
FE,Utilities,Electric Utilities: Central
FEAM,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
FEIM,Industrials,Electrical Products
FELE,Consumer Discretionary,Metal Fabrications
FENC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FER,Industrials,Military/Government/Technical
FERG,Miscellaneous,Miscellaneous
FET,Consumer Discretionary,Oil and Gas Field Machinery
FF,Industrials,Major Chemicals
FFAI,Industrials,Auto Manufacturing
FFBC,Finance,Major Banks
FFIC,Finance,Major Banks
FFIN,Finance,Major Banks
FFIV,Telecommunications,Computer Communications Equipment
FFWM,Finance,Major Banks
FG,Finance,Life Insurance
FGBI,Finance,Savings Institutions
FGBIP,Finance,Savings Institutions
FGN,Finance,Life Insurance
FGNX,Finance,Property-Casualty Insurers
FGNXP,Finance,Property-Casualty Insurers
FHB,Finance,Major Banks
FHI,Finance,Investment Managers
FHN,Finance,Major Banks
FHTX,Health Care,Biotechnology: Pharmaceutical Preparations
FI,Real Estate,Real Estate
FIBK,Finance,Major Banks
FICO,Real Estate,Real Estate
FIG,Technology,Computer Software: Prepackaged Software
FIGR,Finance,Finance: Consumer Services
FIGS,Consumer Discretionary,Apparel
FIHL,Finance,Property-Casualty Insurers
FINS,Finance,Finance/Investors Services
FINV,Finance,Finance: Consumer Services
FINW,Finance,Major Banks
FIP,Energy,Oil Refining/Marketing
FIS,Real Estate,Real Estate
FISI,Finance,Major Banks
FITB,Finance,Major Banks
FITBI,Finance,Major Banks
FITBO,Finance,Major Banks
FITBP,Finance,Major Banks
FIVE,Consumer Discretionary,Department/Specialty Retail Stores
FIVN,Technology,EDP Services
FIX,Industrials,Engineering & Construction
FIZZ,Consumer Staples,Beverages (Production/Distribution)
FKWL,Utilities,Telecommunications Equipment
FLD,Finance,Finance: Consumer Services
FLEX,Technology,Electrical Products
FLG,Finance,Banks
FLGT,Health Care,Medical Specialities
FLL,Consumer Discretionary,Hotels/Resorts
FLNC,Miscellaneous,Industrial Machinery/Components
FLNG,Consumer Discretionary,Marine Transportation
FLNT,Consumer Discretionary,Advertising
FLO,Consumer Staples,Packaged Foods
FLOC,Consumer Discretionary,Oil and Gas Field Machinery
FLR,Industrials,Military/Government/Technical
FLS,Industrials,Fluid Controls
FLUT,Technology,Computer Software: Programming Data Processing
FLUX,Miscellaneous,Industrial Machinery/Components
FLWS,Consumer Discretionary,Other Specialty Stores
FLX,Industrials,Trucking Freight/Courier Services
FLXS,Consumer Discretionary,Home Furnishings
FLY,Industrials,Military/Government/Technical
FLYW,Real Estate,Real Estate
FLYX,Consumer Discretionary,Transportation Services
FMAO,Finance,Savings Institutions
FMBH,Finance,Major Banks
FMC,Industrials,Major Chemicals
FMFC,Consumer Discretionary,Apparel
FMN,Finance,Investment Managers
FMNB,Finance,Major Banks
FMS,Health Care,Misc Health and Biotechnology Services
FMX,Consumer Staples,Beverages (Production/Distribution)
FN,Utilities,Telecommunications Equipment
FNB,Finance,Major Banks
FND,Consumer Discretionary,RETAIL: Building Materials
FNF,Finance,Specialty Insurers
FNGR,Technology,Computer Software: Prepackaged Software
FNKO,Consumer Discretionary,Recreational Games/Products/Toys
FNLC,Finance,Major Banks
FNV,Basic Materials,Precious Metals
FNWB,Finance,Banks
FNWD,Finance,Major Banks
FOA,Finance,Finance: Consumer Services
FOF,Finance,Investment Managers
FOFO,Consumer Discretionary,Professional Services
FOLD,Health Care,Biotechnology: Pharmaceutical Preparations
FONR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FOR,Finance,Real Estate
FORA,Technology,EDP Services
FORD,Industrials,Plastic Products
FORM,Technology,Semiconductors
FORR,Industrials,Diversified Commercial Services
FORTY,Technology,EDP Services
FOSL,Consumer Discretionary,Consumer Specialties
FOSLL,Consumer Discretionary,Consumer Specialties
FOUR,Real Estate,Real Estate
FOX,Industrials,Broadcasting
FOXA,Industrials,Broadcasting
FOXF,Consumer Discretionary,Motor Vehicles
FPH,Finance,Real Estate
FPI,Real Estate,Real Estate Investment Trusts
FR,Real Estate,Real Estate Investment Trusts
FRA,Finance,Investment Bankers/Brokers/Service
FRAF,Finance,Major Banks
FRBA,Finance,Commercial Banks
FRD,Industrials,Steel/Iron Ore
FRGE,Finance,Investment Bankers/Brokers/Service
FRHC,Finance,Investment Bankers/Brokers/Service
FRME,Finance,Major Banks
FRMEP,Finance,Major Banks
FRMI,Real Estate,Real Estate Investment Trusts
FRO,Consumer Discretionary,Marine Transportation
FROG,Technology,Computer Software: Prepackaged Software
FRPH,Finance,Real Estate
FRPT,Consumer Staples,Packaged Foods
FRSH,Technology,Computer Software: Prepackaged Software
FRST,Finance,Major Banks
FRT,Real Estate,Real Estate Investment Trusts
FSBC,Finance,Major Banks
FSBW,Finance,Banks
FSCO,Finance,Trusts Except Educational Religious and Charitable
FSEA,Finance,Savings Institutions
FSFG,Finance,Savings Institutions
FSI,Industrials,Major Chemicals
FSK,Finance,Investment Managers
FSLR,Technology,Semiconductors
FSLY,Technology,Computer Software: Prepackaged Software
FSM,Basic Materials,Precious Metals
FSP,Real Estate,Real Estate Investment Trusts
FSS,Industrials,Auto Manufacturing
FSTR,Industrials,Metal Fabrications
FSUN,Finance,Major Banks
FSV,Finance,Real Estate
FT,Finance,Trusts Except Educational Religious and Charitable
FTAI,Industrials,Misc Corporate Leasing Services
FTAIM,Industrials,Misc Corporate Leasing Services
FTAIN,Industrials,Misc Corporate Leasing Services
FTCI,Technology,Semiconductors
FTDR,Consumer Discretionary,Diversified Commercial Services
FTEK,Industrials,Pollution Control Equipment
FTF,Finance,Finance/Investors Services
FTHY,Finance,Investment Managers
FTI,Consumer Discretionary,Oil and Gas Field Machinery
FTK,Industrials,Major Chemicals
FTLF,Health Care, Medicinal Chemicals and Botanical Products 
FTNT,Technology,Computer peripheral equipment
FTRE,Health Care,Medical Specialities
FTS,Utilities,Electric Utilities: Central
FTV,Industrials,Industrial Machinery/Components
FUBO,Consumer Discretionary,Movies/Entertainment
FUFU,Finance,Finance: Consumer Services
FUFUW,Finance,Finance: Consumer Services
FUL,Industrials,Home Furnishings
FULC,Health Care,Biotechnology: Pharmaceutical Preparations
FULT,Finance,Major Banks
FULTP,Finance,Major Banks
FUN,Consumer Discretionary,Services-Misc. Amusement & Recreation
FUNC,Finance,Major Banks
FUND,Finance,Investment Managers
FURY,Basic Materials,Precious Metals
FUSB,Finance,Major Banks
FUTU,Finance,Investment Bankers/Brokers/Service
FVCB,Finance,Major Banks
FVR,Real Estate,Real Estate Investment Trusts
FVRR,Real Estate,Real Estate
FWONA,Industrials,Broadcasting
FWONK,Industrials,Broadcasting
FWRD,Industrials,Integrated Freight & Logistics
FWRG,Consumer Discretionary,Restaurants
FXNC,Finance,Major Banks
FYBR,Telecommunications,Telecommunications Equipment
G,Consumer Discretionary,Professional Services
GAB,Finance,Investment Managers
GABC,Finance,Major Banks
GAIA,Consumer Discretionary,Movies/Entertainment
GAIN,Finance,Finance: Consumer Services
GAINL,Finance,Finance: Consumer Services
GAINN,Finance,Finance: Consumer Services
GAINZ,Finance,Finance: Consumer Services
GALT,Health Care,Biotechnology: Pharmaceutical Preparations
GAM,Finance,Investment Managers
GAMB,Consumer Discretionary,Services-Misc. Amusement & Recreation
GAME,Consumer Discretionary,Services-Misc. Amusement & Recreation
GANX,Health Care,Biotechnology: Pharmaceutical Preparations
GAP,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GASS,Consumer Discretionary,Marine Transportation
GATX,Consumer Discretionary,Transportation Services
GAU,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GAUZ,Miscellaneous,Industrial Machinery/Components
GBAB,Finance,Investment Managers
GBCI,Finance,Major Banks
GBDC,Finance,Finance: Consumer Services
GBFH,Finance,Commercial Banks
GBLI,Finance,Property-Casualty Insurers
GBTG,Consumer Discretionary,Transportation Services
GBX,Industrials,Railroads
GCBC,Finance,Banks
GCI,Consumer Discretionary,Newspapers/Magazines
GCL,Technology,Computer Software: Prepackaged Software
GCMG,Finance,Investment Managers
GCMGW,Finance,Investment Managers
GCO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GCT,Consumer Discretionary,Catalog/Specialty Distribution
GCTS,Technology,Semiconductors
GCV,Finance,Finance/Investors Services
GD,Industrials,Marine Transportation
GDC,Industrials,Steel/Iron Ore
GDDY,Technology,EDP Services
GDEN,Consumer Discretionary,Services-Misc. Amusement & Recreation
GDEV,Technology,EDP Services
GDOT,Finance,Finance: Consumer Services
GDRX,Technology,EDP Services
GDS,Technology,Computer Software: Programming Data Processing
GDV,Finance,Investment Managers
GDYN,Technology,Computer Software: Prepackaged Software
GE,Technology,Consumer Electronics/Appliances
GECC,Finance,Finance: Consumer Services
GEG,Technology,Computer Software: Prepackaged Software
GEGGL,Technology,Computer Software: Prepackaged Software
GEHC,Health Care,Medical Electronics
GEL,Energy,Oil Refining/Marketing
GEMI,Finance,Investment Bankers/Brokers/Service
GEN,Technology,Computer Software: Prepackaged Software
GENC,Industrials,Construction/Ag Equipment/Trucks
GENI,Consumer Discretionary,Services-Misc. Amusement & Recreation
GENK,Consumer Discretionary,Restaurants
GENVR,Technology,Computer Software: Prepackaged Software
GEO,Consumer Discretionary,Homebuilding
GEOS,Industrials,Industrial Machinery/Components
GERN,Health Care,Biotechnology: Pharmaceutical Preparations
GES,Consumer Discretionary,Apparel
GETY,Real Estate,Real Estate
GEVO,Industrials,Major Chemicals
GFF,Industrials,Building Products
GFI,Basic Materials,Precious Metals
GFL,Utilities,Environmental Services
GFR,Energy,Oil & Gas Production
GFS,Technology,Semiconductors
GGAL,Finance,Commercial Banks
GGB,Industrials,Steel/Iron Ore
GGG,Industrials,Fluid Controls
GGR,Industrials,Auto Manufacturing
GGT,Finance,Trusts Except Educational Religious and Charitable
GGZ,Finance,Investment Managers
GH,Health Care,Medical Specialities
GHC,Real Estate,Other Consumer Services
GHG,Consumer Discretionary,Hotels/Resorts
GHI,Finance,Finance: Consumer Services
GHLD,Finance,Finance: Consumer Services
GHM,Industrials,Industrial Machinery/Components
GHRS,Health Care,Biotechnology: Pharmaceutical Preparations
GIB,Consumer Discretionary,Professional Services
GIC,Industrials,Industrial Machinery/Components
GIFI,Industrials,Metal Fabrications
GIGGU,Technology,Computer Software: Prepackaged Software
GIII,Consumer Discretionary,Apparel
GIL,Consumer Discretionary,Apparel
GILD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILT,Technology,Radio And Television Broadcasting And Communications Equipment
GIS,Consumer Staples,Packaged Foods
GJS,Finance,Finance: Consumer Services
GKOS,Health Care,Medical/Dental Instruments
GL,Finance,Life Insurance
GLAD,Consumer Discretionary,Textiles
GLBE,Technology,Computer Software: Prepackaged Software
GLDD,Industrials,Military/Government/Technical
GLDG,Basic Materials,Precious Metals
GLIBA,Telecommunications,Cable & Other Pay Television Services
GLIBK,Telecommunications,Cable & Other Pay Television Services
GLNG,Consumer Discretionary,Marine Transportation
GLOB,Technology,EDP Services
GLP,Energy,Oil Refining/Marketing
GLPG,Health Care,Biotechnology: Pharmaceutical Preparations
GLPI,Real Estate,Real Estate Investment Trusts
GLRE,Finance,Property-Casualty Insurers
GLSI,Health Care,Biotechnology: Pharmaceutical Preparations
GLU,Finance,Finance/Investors Services
GLUE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLV,Finance,Finance/Investors Services
GLW,Industrials,Telecommunications Equipment
GLXY,Finance,Investment Bankers/Brokers/Service
GM,Industrials,Auto Manufacturing
GMAB,Health Care,Biotechnology: Pharmaceutical Preparations
GME,Consumer Discretionary,Electronics Distribution
GMED,Health Care,Medical/Dental Instruments
GMGI,Technology,Computer Software: Prepackaged Software
GMHS,Technology,EDP Services
GMRE,Real Estate,Real Estate Investment Trusts
GNE,Utilities,Power Generation
GNFT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNK,Consumer Discretionary,Marine Transportation
GNL,Real Estate,Real Estate Investment Trusts
GNLX,Health Care,Biotechnology: Pharmaceutical Preparations
GNRC,Consumer Discretionary,Metal Fabrications
GNS,Consumer Discretionary,Services-Misc. Amusement & Recreation
GNSS,Consumer Staples,Consumer Electronics/Appliances
GNT,Finance,Finance/Investors Services
GNTA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNTX,Consumer Discretionary,Auto Parts:O.E.M.
GNW,Finance,Life Insurance
GO,Consumer Staples,Food Chains
GOCO,Finance,Specialty Insurers
GOGO,Consumer Discretionary,Telecommunications Equipment
GOLF,Consumer Discretionary,Recreational Games/Products/Toys
GOOD,Real Estate,Real Estate
GOODN,Real Estate,Real Estate
GOODO,Real Estate,Real Estate
GOOG,Technology,Computer Software: Programming Data Processing
GOOGL,Technology,Computer Software: Programming Data Processing
GOOS,Consumer Discretionary,Apparel
GORO,Basic Materials,Precious Metals
GOSS,Health Care,Biotechnology: Pharmaceutical Preparations
GOTU,Real Estate,Other Consumer Services
